assists_by,assists_for,match_id,minutes_played,num_assists,num_goals,num_nutmegs,opponent,season_id
{'Ousmane Dembélé': 1},{},3773631.0,34.0,0.0,1.0,0.0,Real Betis,90.0
{},"{'Moriba Kourouma Kourouma': 1, 'Jordi Alba Ramos': 1}",3773665.0,90.0,2.0,0.0,0.0,Osasuna,90.0
{},{},3773497.0,90.0,0.0,0.0,0.0,Real Madrid,90.0
{'Frenkie de Jong': 1},{},3773660.0,90.0,0.0,1.0,0.0,Levante,90.0
{},{},3773593.0,90.0,0.0,1.0,0.0,Villarreal,90.0
{},{},3773466.0,90.0,0.0,0.0,0.0,Celta Vigo,90.0
{},{},3773585.0,90.0,0.0,0.0,0.0,Real Madrid,90.0
{},{'Frenkie de Jong': 1},3773552.0,90.0,1.0,0.0,0.0,Huesca,90.0
{},{},3773672.0,90.0,0.0,0.0,0.0,Sevilla,90.0
{},{},3773386.0,90.0,0.0,0.0,2.0,Deportivo Alavés,90.0
{'Antoine Griezmann': 1},{},3773565.0,90.0,0.0,2.0,0.0,Granada,90.0
{},{},3773587.0,90.0,0.0,0.0,0.0,Getafe,90.0
{},{},3773656.0,90.0,0.0,0.0,0.0,Atlético Madrid,90.0
{},{},3773377.0,90.0,0.0,1.0,0.0,Valencia,90.0
{'Sergio Busquets i Burgos': 1},{},3773457.0,90.0,0.0,1.0,1.0,Celta Vigo,90.0
{'Antoine Griezmann': 1},{},3773586.0,90.0,0.0,1.0,0.0,Granada,90.0
{},{},3773372.0,90.0,0.0,0.0,1.0,Atlético Madrid,90.0
{},{},3773387.0,90.0,0.0,1.0,0.0,Levante,90.0
{},{},3773695.0,90.0,0.0,2.0,0.0,Valencia,90.0
"{'Francisco António Machado Mota de Castro Trincão': 1, 'Sergio Busquets i Burgos': 1}",{'Óscar Mingueza García': 1},3773369.0,90.0,1.0,2.0,0.0,Huesca,90.0
{'Sergio Busquets i Burgos': 1},{'Ronald Federico Araújo da Silva': 1},3773661.0,90.0,1.0,2.0,0.0,Getafe,90.0
"{'Sergio Busquets i Burgos': 1, 'Jordi Alba Ramos': 1}",{'Sergino Dest': 1},3773597.0,90.0,1.0,2.0,0.0,Real Sociedad,90.0
{},{},3773523.0,90.0,0.0,0.0,1.0,Real Sociedad,90.0
{'Pedro González López': 1},{'Clément Lenglet': 1},3773571.0,90.0,1.0,1.0,0.0,Real Valladolid,90.0
{},{},3773428.0,90.0,0.0,0.0,0.0,Cádiz,90.0
"{'Pedro González López': 1, 'Antoine Griezmann': 1}",{},3764661.0,90.0,0.0,2.0,0.0,Athletic Club,90.0
